"code","iso","country","OCP.ind.1995","OCP.ind.1996","OCP.ind.1997","OCP.ind.1998","OCP.ind.1999","OCP.ind.2000","OCP.ind.2001","OCP.ind.2002","OCP.ind.2003","OCP.ind.2004","OCP.ind.2005","OCP.ind.2006","OCP.ind.2007","OCP.ind.2008","OCP.ind.2009","OCP.ind.2010","OCP.ind.2011","OCP.ind.2012","OCP.ind.2013","OCP.ind.2014","OCP.ind.2015","OCP.ind.2016","OCP.ind.2017","OCP.ind.2018","OCP.ind.2019","OCP.ind.2020","OCP.ind.2021","OCP.ind.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",28.2624226391308,28.1914658261083,28.1205090130858,28.0495522000631,27.9785953870406,27.9076385740181,27.8735466253113,27.8394546766045,27.8053627278977,27.7712707791909,27.7371788304841,27.7936456299491,27.850112429414,27.9065792288791,27.9630460283441,28.019512827809,27.8259027881027,27.6322927483963,27.43868270869,27.2450726689837,27.0514626292774,28.0549301002532,29.0583975712289,30.0618650422046,31.0653325131804,32.0687999841562,32.0687999841562,32.0687999841562
12,"DZA","Algeria",14.2605917701111,14.1238660992717,13.9871404284324,13.850414757593,13.7136890867536,13.5769634159143,13.4848598128033,13.3927562096924,13.3006526065813,13.2085490034704,13.1164454003594,12.9975289112486,12.8786124221378,12.7596959330269,12.6407794439161,12.5218629548052,11.2287660615184,9.93566916823144,8.64257227494461,7.3494753816577,6.05637848837085,6.94964725679068,7.84291602521043,8.73618479363026,9.62945356204999,10.5227223304698,10.5227223304698,10.5227223304698
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",38.6419017603325,38.2974126062965,37.9529234522604,37.6084342982244,37.2639451441883,36.9194559901523,36.4412267838247,35.962997577497,35.4847683711695,35.0065391648418,34.5283099585141,34.0837962585385,33.6392825585628,33.1947688585872,32.7502551586115,32.3057414586359,29.0050417345411,25.7043420104465,22.4036422863518,19.1029425622572,15.8022428381625,16.5458707064723,17.2894985747822,18.0331264430921,18.776754311402,19.5203821797118,19.5203821797118,19.5203821797118
660,"AIA","Anguilla",80.8164113392593,80.630630754969,80.4448501706788,80.2590695863887,80.0732890020985,79.8875084178083,79.6853637905588,79.4832191633093,79.2810745360598,79.0789299088103,78.8767852815608,78.741726766719,78.6066682518773,78.4716097370356,78.3365512221939,78.2014927073521,79.1158136781569,80.0301346489616,80.9444556197663,81.8587765905716,82.773097561376,82.773097561376,82.773097561376,82.773097561376,82.773097561376,82.773097561376,82.773097561376,82.773097561376
28,"ATG","Antigua and Barbuda",79.9051235782897,80.585891231477,81.2666588846649,81.9474265378528,82.6281941910399,83.3089618442278,83.177239509347,83.0455171744662,82.9137948395846,82.7820725047039,82.6503501698231,82.5601738418747,82.4699975139262,82.3798211859769,82.2896448580285,82.19946853008,81.6083503095595,81.0172320890398,80.4261138685193,79.8349956479989,79.2438774274786,80.1268009109362,81.0097243943933,81.8926478778512,82.7755713613084,83.6584948447663,83.6584948447663,83.6584948447663
32,"ARG","Argentina",15.2891786547003,15.2935159556248,15.2978532565492,15.3021905574738,15.3065278583983,15.3108651593227,15.3349862582566,15.3591073571905,15.3832284561243,15.4073495550581,15.431470653992,15.9734107275748,16.5153508011576,17.0572908747404,17.5992309483232,18.141171021906,17.1488982353639,16.1566254488219,15.1643526622797,14.1720798757377,13.1798070891956,14.0808040622431,14.9818010352906,15.8827980083381,16.7837949813855,17.684791954433,17.684791954433,17.684791954433
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",59.3085871570003,59.122768041197,58.9369489253938,58.7511298095905,58.5653106937873,58.3794915779841,58.2053489073074,58.0312062366307,57.857063565954,57.6829208952773,57.5087782246006,57.4265916899152,57.3444051552298,57.2622186205444,57.180032085859,57.0978455511736,57.1164203297805,57.1349951083875,57.1535698869943,57.1721446656012,57.1907194442082,56.9940665329221,56.797413621636,56.60076071035,56.4041077990639,56.2074548877778,56.2074548877778,56.2074548877778
36,"AUS","Australia",22.808884957377,22.7388816349973,22.6688783126177,22.5988749902382,22.5288716678586,22.4588683454789,22.3756302867447,22.2923922280104,22.2091541692762,22.125916110542,22.0426780518077,21.926952714394,21.8112273769804,21.6955020395668,21.5797767021532,21.4640513647396,22.256064790772,23.0480782168044,23.8400916428368,24.6321050688693,25.4241184949017,26.9629274055911,28.5017363162806,30.04054522697,31.5793541376594,33.1181630483489,33.1181630483489,33.1181630483489
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",50.40508635484,50.3338885007473,50.2626906466546,50.1914927925619,50.1202949384692,50.0490970843765,49.8904169134574,49.7317367425382,49.5730565716191,49.4143764006999,49.2556962297808,49.0969606121915,48.9382249946023,48.7794893770129,48.6207537594237,48.4620181418344,47.2215677783705,45.9811174149065,44.7406670514426,43.5002166879786,42.2597663245147,43.1620262698971,44.0642862152795,44.9665461606618,45.8688061060442,46.7710660514266,46.7710660514266,46.7710660514266
48,"BHR","Bahrain",52.190228469919,51.9171358272956,51.6440431846722,51.3709505420489,51.0978578994255,50.8247652568021,50.3445329268209,49.8643005968398,49.3840682668585,48.9038359368774,48.4236036068961,47.856745319057,47.2898870312179,46.7230287433788,46.1561704555397,45.5893121677006,46.1442945652832,46.6992769628657,47.2542593604483,47.8092417580309,48.3642241556135,49.65745060366,50.9506770517065,52.243903499753,53.5371299477995,54.830356395846,54.830356395846,54.830356395846
50,"BGD","Bangladesh",18.6635347847093,18.3290902373777,17.9946456900462,17.6602011427147,17.3257565953832,16.9913120480516,16.6491847078309,16.3070573676102,15.9649300273896,15.6228026871688,15.2806753469482,14.9644262358592,14.6481771247702,14.3319280136812,14.0156789025922,13.6994297915032,13.1038858292926,12.5083418670819,11.9127979048713,11.3172539426607,10.72170998045,11.5013848776567,12.2810597748633,13.06073467207,13.8404095692766,14.6200844664833,14.6200844664833,14.6200844664833
52,"BRB","Barbados",51.8976314257386,51.8913528790028,51.885074332267,51.8787957855312,51.8725172387954,51.8662386920596,51.8482116407019,51.8301845893443,51.8121575379866,51.794130486629,51.7761034352714,51.740359719741,51.7046160042106,51.6688722886802,51.6331285731498,51.5973848576195,51.592062255748,51.5867396538766,51.5814170520051,51.5760944501338,51.5707718482623,53.7461575509074,55.9215432535525,58.0969289561976,60.2723146588428,62.4477003614878,62.4477003614878,62.4477003614878
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
